course_id,course_title,course_code,lab_theory,dept_id,semester,syllabus_intro_year,grad_level
342,Introduction to Computer and Programming,1C01CSC,T,9,1,2019,UG
343,"Lab-I (Programming in C, Web Programming and Python Programming)",4C05CSC,L,9,1,2019,UG
344,"Set Theory, Differential Calculus and Numerical Methods",1B01MAT,T,10,1,2019,UG
345,Mathematics for Physics I,1C01MAT-PH,T,10,1,2019,UG
346,Mathematics for Chemistry I,1C01MAT-CH,T,10,1,2019,UG
347,Mathematics for Statistics I,1C01MAT-ST,T,10,1,2019,UG
348,Introductory Statistics,1B01STA,T,12,1,2019,UG
349,Basics Statistics,1C01STA,T,12,1,2019,UG
350,Hindi Kavitha,1A07HIN,T,3,1,2019,UG
351,Kavitha Aur Kahani,1A07-1HIN,T,3,1,2019,UG
352,Naya Sahithya,1A07-2HIN,T,3,1,2019,UG
353,Cytology and Angiosperm Anatomy,1B01PLS,T,7,1,2019,UG
354,Core Practical I,4B05PLS,L,7,1,2019,UG
355,"Microbiology, Phycology, Mycology and Lichenology",1C01BOT,L,7,1,2019,UG
356,CE Practical - Botany,4C05PLS,L,7,1,2019,UG
357,Protista and Non Chordata-I,1B01ZLG,T,13,1,2019,UG
358,Practical-I,4B01ZLG-P,L,13,1,2019,UG
359,Diversity of Life - I Protistans and Non Chordates,1C01ZLG,T,13,1,2019,UG
360,Practical,4C05ZLG-P,L,13,1,2019,UG
361,Malayala Kavitha - Adhunikam Adhunikaantharam,1B01MAL,T,5,1,2019,UG
362,Paristhithi Dalit Linga Padavi Padanangal,1C01MAL,T,5,1,2019,UG
363,Kadha Mathrukakal,1A07MAL,T,5,1,2019,UG
364,Sahithyaroopangal,1A07-1MAL,T,5,1,2019,UG
365,Sahitya Ganangal,1A07-2MAL,T,5,1,2019,UG
366,Micro Economic Analysis-I,1B01ECO,T,1,1,2019,UG
367,Introductory Economics-I,1C05ECO,T,1,1,2019,UG
368,Population and Development,1C09ECO,T,1,1,2019,UG
369,Communicative English,1A01ENG,T,2,1,2019,UG
370,Readings on Kerala,1A02ENG,T,2,1,2019,UG
371,History of India I: Pre-historic Times to c.200 CE,1B01HIS,T,4,1,2019,UG
